,coef,std err,t,P>|t|,[0.025,0.975]
DisplayName_Minkah Fitzpatrick,2.0941,4.666,0.449,0.654,-7.052,11.24
DisplayName_Mitch Morse,-6.8496,1.952,-3.509,0.0,-10.676,-3.023
DisplayName_Mitch Unrein,-8.5391,8.204,-1.041,0.298,-24.619,7.541
DisplayName_Mitchell Loewen,-14.7643,15.862,-0.931,0.352,-45.854,16.326
DisplayName_Mitchell Schwartz,0.2763,5.355,0.052,0.959,-10.218,10.771
DisplayName_Mitchell Trubisky,-2.3463,2.864,-0.819,0.413,-7.96,3.267
DisplayName_Mo Alie-Cox,4.743,3.906,1.214,0.225,-2.912,12.398
DisplayName_Mohamed Sanu,-0.2633,2.973,-0.089,0.929,-6.091,5.564
DisplayName_Montae Nicholson,2.3708,5.929,0.4,0.689,-9.251,13.992
DisplayName_Montravius Adams,-7.9118,7.386,-1.071,0.284,-22.388,6.565
DisplayName_Morgan Burnett,2.2196,5.194,0.427,0.669,-7.961,12.4
DisplayName_Morgan Fox,-12.9423,15.055,-0.86,0.39,-42.449,16.565
DisplayName_Morgan Moses,2.096,7.912,0.265,0.791,-13.412,17.604
DisplayName_Morris Claiborne,-5.0847,1.428,-3.561,0.0,-7.883,-2.286
DisplayName_Mose Frazier,-9.5864,5.322,-1.801,0.072,-20.017,0.844
DisplayName_Muhammad Wilkerson,-2.073,4.132,-0.502,0.616,-10.171,6.025
DisplayName_MyCole Pruitt,-0.6666,3.104,-0.215,0.83,-6.75,5.417
DisplayName_Mychal Kendricks,0.7994,5.871,0.136,0.892,-10.708,12.307
DisplayName_Myles Garrett,-13.2472,15.962,-0.83,0.407,-44.532,18.038
DisplayName_Myles Jack,1.3272,6.713,0.198,0.843,-11.831,14.485
DisplayName_NaVorro Bowman,1.0693,6.283,0.17,0.865,-11.244,13.383
DisplayName_Najee Goode,2.2294,6.858,0.325,0.745,-11.212,15.671
DisplayName_Nat Berhe,-1.9273,2.697,-0.715,0.475,-7.213,3.358
DisplayName_Nate Allen,4.3991,6.582,0.668,0.504,-8.502,17.3
DisplayName_Nate Gerry,-3.0074,3.083,-0.976,0.329,-9.049,3.034
DisplayName_Nate Hairston,-7.3042,2.595,-2.815,0.005,-12.391,-2.218
DisplayName_Nate Orchard,1.9146,8.465,0.226,0.821,-14.676,18.505
DisplayName_Nate Palmer,0.9403,7.992,0.118,0.906,-14.723,16.603
DisplayName_Nate Solder,-0.4355,6.321,-0.069,0.945,-12.825,11.954
DisplayName_Nate Stupar,-3.0113,5.694,-0.529,0.597,-14.171,8.149
DisplayName_Nate Sudfeld,-2.3004,2.051,-1.121,0.262,-6.321,1.72
DisplayName_Nathan Peterman,0.8171,0.927,0.882,0.378,-1.0,2.634
DisplayName_Nathan Shepherd,-4.5141,4.292,-1.052,0.293,-12.926,3.898
DisplayName_Natrell Jamerson,0.6164,4.186,0.147,0.883,-7.588,8.821
DisplayName_Nazair Jones,-12.2734,10.828,-1.133,0.257,-33.496,8.949
DisplayName_Ndamukong Suh,-5.2351,4.816,-1.087,0.277,-14.675,4.204
DisplayName_Neal Sterling,1.0519,1.636,0.643,0.52,-2.155,4.259
DisplayName_Neiko Thorpe,-1.9214,5.607,-0.343,0.732,-12.911,9.068
DisplayName_Nelson Agholor,-4.7272,3.287,-1.438,0.15,-11.169,1.715
DisplayName_Neville Hewitt,-2.901,4.036,-0.719,0.472,-10.811,5.009
DisplayName_Nevin Lawson,-4.3261,1.639,-2.64,0.008,-7.538,-1.114
DisplayName_Nicholas Grigsby,-4.6886,3.601,-1.302,0.193,-11.747,2.37
DisplayName_Nicholas Morrow,-3.8718,2.212,-1.75,0.08,-8.207,0.464
DisplayName_Nick Bellore,-0.6739,0.699,-0.964,0.335,-2.044,0.696
DisplayName_Nick Boyle,5.2196,4.826,1.082,0.279,-4.239,14.679
DisplayName_Nick Chubb,-1.8791,2.454,-0.766,0.444,-6.688,2.93
DisplayName_Nick DeLuca,0.8733,8.543,0.102,0.919,-15.871,17.618
DisplayName_Nick Dzubnar,-1.4543,7.203,-0.202,0.84,-15.571,12.662
DisplayName_Nick Easton,-2.7797,3.063,-0.907,0.364,-8.784,3.224
DisplayName_Nick Foles,3.4625,4.794,0.722,0.47,-5.933,12.858
DisplayName_Nick Kwiatkoski,0.9363,6.1,0.153,0.878,-11.02,12.892
DisplayName_Nick Martin,-7.2517,2.894,-2.506,0.012,-12.923,-1.58
DisplayName_Nick Mullens,-3.6445,4.211,-0.866,0.387,-11.897,4.608
DisplayName_Nick Nelson,-0.3541,3.841,-0.092,0.927,-7.882,7.174
DisplayName_Nick O'Leary,0.1527,1.216,0.126,0.9,-2.231,2.537
DisplayName_Nick Perry,6.7171,12.327,0.545,0.586,-17.444,30.878
DisplayName_Nick Vannett,1.6803,2.187,0.768,0.442,-2.607,5.967
DisplayName_Nick Vigil,-1.5828,4.217,-0.375,0.707,-9.848,6.682
DisplayName_Nick Williams,-8.1448,6.377,-1.277,0.202,-20.643,4.354
DisplayName_Nickell Robey-Coleman,-7.896,4.252,-1.857,0.063,-16.229,0.437
DisplayName_Nigel Bradham,0.1612,5.809,0.028,0.978,-11.225,11.547
DisplayName_Nigel Harris,-5.5853,3.128,-1.786,0.074,-11.715,0.545
DisplayName_Niles Paul,-1.703,3.338,-0.51,0.61,-8.245,4.839
DisplayName_Niles Scott,1.6822,2.091,0.805,0.421,-2.416,5.78
DisplayName_Noah Brown,2.5032,4.664,0.537,0.591,-6.639,11.645
DisplayName_Noah Spence,-19.4031,21.712,-0.894,0.372,-61.958,23.152
DisplayName_Nolan Carroll,-2.4883,3.154,-0.789,0.43,-8.67,3.693
DisplayName_Nyheim Hines,-10.1038,8.51,-1.187,0.235,-26.782,6.575
DisplayName_O.J. Howard,-1.9473,1.48,-1.316,0.188,-4.847,0.953
DisplayName_Obi Melifonwu,3.9971,9.353,0.427,0.669,-14.335,22.329
DisplayName_Obum Gwacham,-9.3665,4.622,-2.026,0.043,-18.426,-0.307
DisplayName_Oday Aboushi,-1.7773,4.11,-0.432,0.665,-9.833,6.278
DisplayName_Odell Beckham,-4.345,3.374,-1.288,0.198,-10.959,2.269
DisplayName_Ola Adeniyi,-3.9181,9.01,-0.435,0.664,-21.578,13.742
DisplayName_Olivier Vernon,6.2562,11.588,0.54,0.589,-16.456,28.969
DisplayName_Olsen Pierre,-10.5177,10.457,-1.006,0.315,-31.013,9.978
DisplayName_Oren Burks,-3.4011,3.781,-0.899,0.368,-10.812,4.01
DisplayName_Orlando Brown,6.0965,11.87,0.514,0.608,-17.168,29.361
DisplayName_Orlando Scandrick,-2.5928,1.886,-1.375,0.169,-6.289,1.104
DisplayName_Orleans Darkwa,-4.5916,3.34,-1.375,0.169,-11.137,1.954
DisplayName_Orson Charles,2.167,1.699,1.275,0.202,-1.163,5.497
DisplayName_P.J. Hall,-5.7131,6.791,-0.841,0.4,-19.023,7.597
DisplayName_P.J. Williams,-4.017,1.651,-2.433,0.015,-7.253,-0.781
DisplayName_Parker Ehinger,-0.9867,2.153,-0.458,0.647,-5.206,3.233
DisplayName_Parry Nickerson,-5.6669,3.399,-1.667,0.095,-12.328,0.994
DisplayName_Pasoni Tasini,5.3896,6.923,0.778,0.436,-8.18,18.959
DisplayName_Pat Elflein,-2.3516,3.048,-0.772,0.44,-8.325,3.622
DisplayName_Pat O'Connor,-5.8135,16.827,-0.345,0.73,-38.795,27.168
DisplayName_Pat Sims,0.1388,0.897,0.155,0.877,-1.62,1.898
DisplayName_Patrick Chung,4.7918,7.045,0.68,0.496,-9.017,18.6
DisplayName_Patrick DiMarco,-5.4808,4.741,-1.156,0.248,-14.774,3.812
DisplayName_Patrick Mahomes,1.7794,1.401,1.27,0.204,-0.967,4.526
DisplayName_Patrick Omameh,4.3909,3.684,1.192,0.233,-2.829,11.611
DisplayName_Patrick Onwuasor,-3.6103,2.588,-1.395,0.163,-8.683,1.462
DisplayName_Patrick Peterson,-1.9158,3.05,-0.628,0.53,-7.894,4.062
DisplayName_Patrick Ricard,16.5808,16.83,0.985,0.325,-16.405,49.567
DisplayName_Patrick Robinson,-6.4731,1.542,-4.197,0.0,-9.496,-3.45
DisplayName_Paul Perkins,-8.7837,4.8,-1.83,0.067,-18.192,0.624
DisplayName_Paul Posluszny,-2.121,3.493,-0.607,0.544,-8.966,4.724
DisplayName_Paul Richardson,-10.5342,7.781,-1.354,0.176,-25.785,4.716
DisplayName_Paul Worrilow,-1.0992,3.244,-0.339,0.735,-7.457,5.258
DisplayName_Paxton Lynch,2.823,5.135,0.55,0.582,-7.241,12.887
DisplayName_Pernell McPhee,6.6192,12.34,0.536,0.592,-17.567,30.805
DisplayName_Pete Robertson,2.9781,6.724,0.443,0.658,-10.201,16.157
DisplayName_Peter Kalambayi,3.5308,9.44,0.374,0.708,-14.972,22.034
DisplayName_Peyton Barber,-3.0344,2.439,-1.244,0.213,-7.814,1.745
DisplayName_Peyton Thompson,-1.984,3.391,-0.585,0.558,-8.63,4.662
DisplayName_Pharaoh Brown,2.0614,1.907,1.081,0.28,-1.676,5.799
DisplayName_Pharoh Cooper,-3.1422,2.582,-1.217,0.224,-8.203,1.919
DisplayName_Philip Rivers,0.6706,0.812,0.826,0.409,-0.921,2.262
DisplayName_Phillip Dorsett,-5.5821,4.717,-1.183,0.237,-14.827,3.663
DisplayName_Phillip Gaines,-4.798,1.372,-3.496,0.0,-7.488,-2.108
DisplayName_Phillip Lindsay,-10.9408,10.612,-1.031,0.303,-31.74,9.859
DisplayName_Phillip Supernaw,0.7592,1.159,0.655,0.512,-1.513,3.031
DisplayName_Pierre Desir,-6.0583,1.359,-4.457,0.0,-8.722,-3.394
DisplayName_Pierre Garcon,-0.1928,2.651,-0.073,0.942,-5.39,5.004
DisplayName_Pita Taumoepenu,-2.5245,7.241,-0.349,0.727,-16.717,11.668
DisplayName_Poona Ford,-3.5967,5.407,-0.665,0.506,-14.195,7.001
DisplayName_Preston Brown,3.838,8.628,0.445,0.656,-13.072,20.748
DisplayName_Preston Smith,6.3129,12.17,0.519,0.604,-17.54,30.166
DisplayName_Prince Amukamara,-1.1684,3.425,-0.341,0.733,-7.881,5.544
DisplayName_Quan Bray,-10.2684,7.092,-1.448,0.148,-24.168,3.631
DisplayName_Quandre Diggs,-2.1276,2.22,-0.958,0.338,-6.479,2.223
DisplayName_Quenton Meeks,0.507,4.968,0.102,0.919,-9.231,10.245
DisplayName_Quenton Nelson,4.2577,4.441,0.959,0.338,-4.447,12.962
DisplayName_Quincy Adeboyejo,-6.2482,3.548,-1.761,0.078,-13.202,0.705
DisplayName_Quincy Enunwa,2.2499,5.438,0.414,0.679,-8.408,12.908
DisplayName_Quincy Wilson,-5.8249,1.366,-4.265,0.0,-8.502,-3.148
DisplayName_Quinten Rollins,-3.6004,1.879,-1.916,0.055,-7.283,0.082
DisplayName_Quintin Demps,4.6745,7.368,0.634,0.526,-9.767,19.116
DisplayName_Quinton Dial,-0.4948,0.987,-0.502,0.616,-2.429,1.439
DisplayName_Quinton Dunbar,-2.751,2.766,-0.994,0.32,-8.173,2.671
DisplayName_Quinton Jefferson,-11.7536,11.01,-1.068,0.286,-33.333,9.826
DisplayName_Quinton Spain,4.6561,4.528,1.028,0.304,-4.219,13.532
DisplayName_RJ McIntosh,-13.1487,13.42,-0.98,0.327,-39.452,13.155
DisplayName_Raekwon McMillan,0.4802,6.078,0.079,0.937,-11.433,12.393
DisplayName_Rafael Bush,2.3788,4.376,0.544,0.587,-6.198,10.955
DisplayName_Raheem Mostert,-7.9225,8.864,-0.894,0.371,-25.295,9.45
DisplayName_Rakeem Nunez-Roches,-6.8825,6.356,-1.083,0.279,-19.34,5.575
DisplayName_Ramik Wilson,-2.1295,4.78,-0.446,0.656,-11.498,7.239
DisplayName_Ramon Foster,4.0315,3.885,1.038,0.299,-3.583,11.646
DisplayName_Ramon Humber,-0.0741,3.826,-0.019,0.985,-7.573,7.425
DisplayName_Randall Cobb,-5.4605,4.73,-1.154,0.248,-14.731,3.81
DisplayName_Randall Telfer,-0.8727,1.467,-0.595,0.552,-3.749,2.003
DisplayName_Randy Gregory,-24.1768,24.492,-0.987,0.324,-72.179,23.826
DisplayName_Rashaad Coward,1.6227,9.413,0.172,0.863,-16.826,20.072
DisplayName_Rashaad Penny,-4.2999,3.195,-1.346,0.178,-10.563,1.963
DisplayName_Rashaan Evans,-1.9882,3.99,-0.498,0.618,-9.808,5.832
DisplayName_Rashaan Gaulden,0.2275,3.659,0.062,0.95,-6.945,7.399
DisplayName_Rashaan Melvin,-5.2386,1.514,-3.461,0.001,-8.206,-2.272
DisplayName_Rashad Greene,-8.62,6.28,-1.373,0.17,-20.928,3.688
DisplayName_Rashard Higgins,-5.1972,3.238,-1.605,0.108,-11.543,1.148
DisplayName_Rashard Robinson,-10.8416,4.847,-2.237,0.025,-20.341,-1.343
DisplayName_Rashawn Scott,-9.6817,6.822,-1.419,0.156,-23.052,3.688
DisplayName_Rasheem Green,-11.1463,14.025,-0.795,0.427,-38.634,16.342
DisplayName_Rashod Hill,-2.4797,3.54,-0.7,0.484,-9.419,4.459
DisplayName_Rasul Douglas,0.0811,4.586,0.018,0.986,-8.907,9.07
DisplayName_Raven Greene,0.6694,3.734,0.179,0.858,-6.649,7.987
DisplayName_Ray-Ray Armstrong,-7.3802,1.85,-3.99,0.0,-11.005,-3.755
DisplayName_Ray-Ray McCloud,-5.2886,5.349,-0.989,0.323,-15.772,5.195
DisplayName_Rayshawn Jenkins,5.4861,8.248,0.665,0.506,-10.68,21.652
DisplayName_Rees Odhiambo,-7.3464,2.728,-2.693,0.007,-12.693,-2.0
DisplayName_Reggie Gilbert,5.232,11.134,0.47,0.638,-16.59,27.054
DisplayName_Reggie Nelson,3.237,5.685,0.569,0.569,-7.906,14.38
DisplayName_Reggie Ragland,3.5038,8.813,0.398,0.691,-13.769,20.776
DisplayName_Reshad Jones,4.1299,6.828,0.605,0.545,-9.253,17.513
DisplayName_Reuben Foster,-3.7726,2.66,-1.418,0.156,-8.987,1.441
DisplayName_Rex Burkhead,-6.0991,4.208,-1.449,0.147,-14.347,2.149
DisplayName_Rey Maualuga,5.8334,10.495,0.556,0.578,-14.736,26.403
DisplayName_Rhett Ellison,0.6112,1.008,0.606,0.544,-1.365,2.587
DisplayName_Ricardo Allen,-3.2605,2.286,-1.426,0.154,-7.741,1.22
DisplayName_Ricardo Louis,-0.6995,3.012,-0.232,0.816,-6.602,5.203
DisplayName_Richard Ash,-4.3975,4.317,-1.019,0.308,-12.859,4.064
DisplayName_Richard Rodgers,2.4482,1.545,1.584,0.113,-0.581,5.477
DisplayName_Richard Sherman,-5.5062,1.449,-3.801,0.0,-8.345,-2.667
DisplayName_Richie Incognito,3.9804,3.242,1.228,0.219,-2.373,10.334
DisplayName_Richie James,-8.5867,6.508,-1.319,0.187,-21.342,4.168
DisplayName_Rick Wagner,-1.6514,4.003,-0.413,0.68,-9.498,6.195
DisplayName_Rickey Hatley,-0.418,3.555,-0.118,0.906,-7.386,6.55
DisplayName_Ricky Jean Francois,-4.6002,5.786,-0.795,0.427,-15.941,6.741
DisplayName_Ricky Ortiz,-2.7254,4.164,-0.654,0.513,-10.888,5.437
DisplayName_Ricky Seals-Jones,-3.5695,3.176,-1.124,0.261,-9.793,2.654
DisplayName_Ricky Wagner,-2.751,4.005,-0.687,0.492,-10.6,5.098
DisplayName_Rico Gathers,8.3089,7.419,1.12,0.263,-6.231,22.849
DisplayName_Riley Bullough,-3.1139,2.7,-1.153,0.249,-8.406,2.178
DisplayName_Riley McCarron,-3.832,5.12,-0.748,0.454,-13.868,6.204
DisplayName_Riley Reiff,-4.747,2.186,-2.171,0.03,-9.032,-0.462
DisplayName_Rishard Matthews,0.2276,3.775,0.06,0.952,-7.171,7.626
DisplayName_River Cracraft,-0.3311,4.181,-0.079,0.937,-8.525,7.863
DisplayName_Rob Gronkowski,2.6862,3.234,0.831,0.406,-3.653,9.025
DisplayName_Rob Havenstein,0.9699,7.194,0.135,0.893,-13.13,15.07
DisplayName_Rob Kelley,-3.2824,2.406,-1.364,0.173,-7.998,1.433
DisplayName_Robby Anderson,-9.4059,5.216,-1.803,0.071,-19.629,0.817
DisplayName_Robert Alford,-6.0601,2.32,-2.612,0.009,-10.607,-1.513
DisplayName_Robert Ayers,-12.5066,15.05,-0.831,0.406,-42.005,16.992
DisplayName_Robert Foster,-7.3765,4.185,-1.763,0.078,-15.579,0.826
DisplayName_Robert Golden,1.4573,3.691,0.395,0.693,-5.776,8.691
DisplayName_Robert Griffin III,-3.1474,4.153,-0.758,0.449,-11.287,4.992
DisplayName_Robert McClain,-2.3996,1.958,-1.226,0.22,-6.237,1.438
DisplayName_Robert Nelson,-6.63,5.7,-1.163,0.245,-17.801,4.541
DisplayName_Robert Nkemdiche,-4.5619,4.559,-1.001,0.317,-13.497,4.373
DisplayName_Robert Quinn,-17.9431,20.175,-0.889,0.374,-57.485,21.599
DisplayName_Robert Thomas,0.2713,0.998,0.272,0.786,-1.685,2.228
DisplayName_Robert Tonyan,-4.8132,5.133,-0.938,0.348,-14.873,5.246
DisplayName_Robert Turbin,-3.6319,2.833,-1.282,0.2,-9.184,1.92
DisplayName_Robert Woods,-6.0546,4.406,-1.374,0.169,-14.69,2.581
DisplayName_Roc Thomas,-10.8672,8.743,-1.243,0.214,-28.004,6.27
DisplayName_Rod Smith,-1.9099,2.893,-0.66,0.509,-7.58,3.76
DisplayName_Rod Streater,0.64,5.022,0.127,0.899,-9.202,10.482
DisplayName_Rodger Saffold,2.6594,3.033,0.877,0.381,-3.286,8.605
DisplayName_Rodney Gunter,-6.7371,7.175,-0.939,0.348,-20.799,7.325
DisplayName_Rodney Hudson,-2.4636,2.958,-0.833,0.405,-8.262,3.334
DisplayName_Rodney McLeod,-1.4594,2.25,-0.649,0.517,-5.869,2.95
DisplayName_Roger Lewis,-4.7105,2.501,-1.884,0.06,-9.612,0.191
DisplayName_Romeo Okwara,6.4974,11.695,0.556,0.579,-16.425,29.42
DisplayName_Ron Parker,1.7465,4.5,0.388,0.698,-7.073,10.566
DisplayName_Ronald Blair,-14.7906,16.53,-0.895,0.371,-47.188,17.607
DisplayName_Ronald Darby,-4.0602,1.469,-2.763,0.006,-6.94,-1.18
DisplayName_Ronald Jones,-10.3753,6.085,-1.705,0.088,-22.302,1.551
DisplayName_Ronald Leary,3.111,1.873,1.661,0.097,-0.56,6.782
DisplayName_Ronnie Harrison,4.157,6.601,0.63,0.529,-8.781,17.095
DisplayName_Ronnie Stanley,-1.9278,4.01,-0.481,0.631,-9.787,5.932
DisplayName_Rontez Miles,0.6325,3.817,0.166,0.868,-6.849,8.114
DisplayName_Roosevelt Nix,0.5999,0.964,0.622,0.534,-1.29,2.49
DisplayName_Roquan Smith,-2.4614,3.23,-0.762,0.446,-8.793,3.87
DisplayName_Ross Cockrell,-5.2581,1.461,-3.599,0.0,-8.122,-2.394
DisplayName_Ross Dwelley,-6.6518,4.393,-1.514,0.13,-15.261,1.958
DisplayName_Ross Travis,-1.4778,2.284,-0.647,0.518,-5.955,3.0
DisplayName_Roy Miller,-8.0719,8.018,-1.007,0.314,-23.786,7.642
DisplayName_Roy Robertson-Harris,-7.4947,9.92,-0.756,0.45,-26.937,11.948
DisplayName_Royce Freeman,0.9835,3.721,0.264,0.792,-6.309,8.276
DisplayName_Rudy Ford,1.8982,4.221,0.45,0.653,-6.375,10.171
DisplayName_Russell Bodine,-5.0256,1.919,-2.619,0.009,-8.787,-1.264
DisplayName_Russell Gage,-7.2723,6.819,-1.066,0.286,-20.637,6.093
DisplayName_Russell Okung,-2.7485,2.995,-0.918,0.359,-8.619,3.121
DisplayName_Russell Shepard,-6.9358,3.955,-1.754,0.08,-14.688,0.816
DisplayName_Russell Wilson,-1.431,2.808,-0.51,0.61,-6.934,4.072
DisplayName_Ryan Anderson,3.2869,9.098,0.361,0.718,-14.545,21.119
DisplayName_Ryan Davis,-15.6001,19.177,-0.813,0.416,-53.186,21.986
DisplayName_Ryan Delaire,-13.9364,18.574,-0.75,0.453,-50.34,22.467
DisplayName_Ryan Fitzpatrick,0.9038,1.082,0.835,0.404,-1.218,3.025
DisplayName_Ryan Glasgow,-7.9316,7.842,-1.011,0.312,-23.301,7.438
DisplayName_Ryan Grant,-6.4747,3.945,-1.641,0.101,-14.206,1.257
DisplayName_Ryan Griffin,0.5476,0.978,0.56,0.576,-1.37,2.465
DisplayName_Ryan Groy,1.2089,1.696,0.713,0.476,-2.115,4.533
DisplayName_Ryan Hewitt,0.7417,1.206,0.615,0.539,-1.623,3.106
DisplayName_Ryan Jensen,-2.3324,3.539,-0.659,0.51,-9.269,4.604
DisplayName_Ryan Kalil,-6.5021,2.968,-2.19,0.028,-12.32,-0.684
DisplayName_Ryan Kelly,-4.7135,1.806,-2.61,0.009,-8.253,-1.174
DisplayName_Ryan Kerrigan,7.0536,12.248,0.576,0.565,-16.952,31.06
DisplayName_Ryan Lewis,-7.1581,2.815,-2.543,0.011,-12.676,-1.641
DisplayName_Ryan Malleck,-9.1408,10.714,-0.853,0.394,-30.14,11.858
DisplayName_Ryan Mallett,6.9234,6.83,1.014,0.311,-6.463,20.31
DisplayName_Ryan Murphy,1.9157,8.114,0.236,0.813,-13.987,17.818
DisplayName_Ryan O'Malley,4.7087,3.403,1.384,0.166,-1.962,11.379
DisplayName_Ryan Ramczyk,-1.5709,3.747,-0.419,0.675,-8.914,5.773
DisplayName_Ryan Russell,-13.6767,15.222,-0.898,0.369,-43.511,16.158
DisplayName_Ryan Schraeder,-7.1697,2.288,-3.133,0.002,-11.655,-2.685
DisplayName_Ryan Shazier,-1.9717,3.12,-0.632,0.527,-8.088,4.144
DisplayName_Ryan Smith,-5.2208,1.607,-3.248,0.001,-8.371,-2.07
DisplayName_Ryan Switzer,-6.8192,6.517,-1.046,0.295,-19.593,5.954
DisplayName_Ryan Tannehill,-5.6617,5.282,-1.072,0.284,-16.015,4.691
DisplayName_Saeed Blacknall,-5.6316,6.734,-0.836,0.403,-18.83,7.567
DisplayName_Sam Acho,-16.7837,19.535,-0.859,0.39,-55.072,21.505
DisplayName_Sam Bradford,-0.6077,0.933,-0.652,0.515,-2.435,1.22
DisplayName_Sam Darnold,-0.3126,0.496,-0.63,0.529,-1.285,0.66
DisplayName_Sam Hubbard,-16.5332,18.038,-0.917,0.359,-51.887,18.82
DisplayName_Sam Jones,-8.1881,7.42,-1.104,0.27,-22.731,6.355
DisplayName_Sam Shields,-9.2062,4.394,-2.095,0.036,-17.817,-0.595
DisplayName_Sam Tevi,-1.115,4.108,-0.271,0.786,-9.166,6.936
DisplayName_Sam Young,-6.562,2.207,-2.973,0.003,-10.888,-2.236
DisplayName_Samaje Perine,0.9261,4.271,0.217,0.828,-7.445,9.297
DisplayName_Sammie Coates,-1.3443,2.548,-0.528,0.598,-6.339,3.65
DisplayName_Sammy Watkins,-1.5401,2.428,-0.634,0.526,-6.3,3.219
DisplayName_Samson Ebukam,0.1559,6.806,0.023,0.982,-13.184,13.496
DisplayName_Saquon Barkley,-0.3809,2.72,-0.14,0.889,-5.712,4.95
DisplayName_Scooby Wright,-0.7181,6.395,-0.112,0.911,-13.253,11.817
DisplayName_Scott Quessenberry,-4.3071,2.317,-1.859,0.063,-8.848,0.234
DisplayName_Scott Simonson,2.8056,2.322,1.208,0.227,-1.745,7.357
DisplayName_Scott Tolzien,-3.9449,3.305,-1.194,0.233,-10.422,2.532
DisplayName_Sealver Siliga,6.1786,4.554,1.357,0.175,-2.748,15.105
DisplayName_Sean Chandler,1.9964,4.99,0.4,0.689,-7.784,11.777
DisplayName_Sean Culkin,2.4002,1.191,2.015,0.044,0.065,4.735
DisplayName_Sean Davis,0.2322,3.375,0.069,0.945,-6.383,6.847
DisplayName_Sean Lee,0.5306,6.893,0.077,0.939,-12.98,14.041
DisplayName_Sean Mannion,-1.3116,1.725,-0.76,0.447,-4.693,2.07
DisplayName_Sean McGrath,0.1292,1.174,0.11,0.912,-2.171,2.429
DisplayName_Sean Smith,1.4796,7.521,0.197,0.844,-13.261,16.22
DisplayName_Sean Spence,-0.3558,3.665,-0.097,0.923,-7.539,6.827
DisplayName_Sean Weatherspoon,3.021,7.2,0.42,0.675,-11.091,17.133
DisplayName_Seantrel Henderson,9.4217,13.686,0.688,0.491,-17.402,36.246
DisplayName_Senio Kelemete,-2.9496,3.603,-0.819,0.413,-10.011,4.112
DisplayName_Senorise Perry,-6.924,5.964,-1.161,0.246,-18.613,4.766
DisplayName_Seth DeValve,-1.5471,2.577,-0.6,0.548,-6.599,3.505
DisplayName_Seth Roberts,-6.9548,3.912,-1.778,0.075,-14.622,0.712
DisplayName_Shalom Luani,0.1045,3.578,0.029,0.977,-6.908,7.117
DisplayName_Shamar Stephen,-2.8816,1.858,-1.551,0.121,-6.523,0.759
DisplayName_Shamarko Thomas,2.2147,6.46,0.343,0.732,-10.448,14.877
DisplayName_Shane Ray,-18.6999,20.658,-0.905,0.365,-59.188,21.788
DisplayName_Shane Smith,-3.8424,3.219,-1.194,0.233,-10.152,2.467
DisplayName_Shane Vereen,-9.8249,6.747,-1.456,0.145,-23.048,3.398
DisplayName_Shaq Lawson,-14.939,17.289,-0.864,0.388,-48.825,18.947
DisplayName_Shaq Mason,0.0087,1.264,0.007,0.994,-2.468,2.486
DisplayName_Shaq Thompson,-2.4013,3.217,-0.746,0.455,-8.706,3.904
DisplayName_Shaquem Griffin,-2.0295,3.451,-0.588,0.556,-8.793,4.734
DisplayName_Shaquil Barrett,2.5754,8.258,0.312,0.755,-13.61,18.761
DisplayName_Shaquill Griffin,-3.002,1.975,-1.52,0.128,-6.873,0.869
DisplayName_Shareece Wright,-6.9746,2.801,-2.49,0.013,-12.464,-1.485
DisplayName_Sharif Finch,1.9338,8.129,0.238,0.812,-13.998,17.866
DisplayName_Sharrod Neasman,-0.2506,2.59,-0.097,0.923,-5.327,4.826
DisplayName_Shaun Dion Hamilton,1.5977,4.494,0.355,0.722,-7.211,10.406
DisplayName_Shaun Wilson,-13.9188,12.356,-1.126,0.26,-38.136,10.298
DisplayName_Shawn Lauvao,-1.6209,2.2,-0.737,0.461,-5.932,2.69
DisplayName_Shawn Williams,2.8256,5.56,0.508,0.611,-8.072,13.723
DisplayName_Shelby Harris,-7.1907,7.098,-1.013,0.311,-21.102,6.72
DisplayName_Sheldon Day,-9.2575,9.918,-0.933,0.351,-28.696,10.181
DisplayName_Sheldon Rankins,-7.0222,6.907,-1.017,0.309,-20.56,6.515
DisplayName_Sheldon Richardson,-10.2646,10.071,-1.019,0.308,-30.003,9.473
DisplayName_Shelton Gibson,-8.0801,5.143,-1.571,0.116,-18.161,2.0
DisplayName_Sherrick McManis,-0.494,3.433,-0.144,0.886,-7.222,6.234
DisplayName_Shilique Calhoun,-17.4867,19.346,-0.904,0.366,-55.404,20.431
DisplayName_Shon Coleman,-2.6327,3.005,-0.876,0.381,-8.522,3.257
DisplayName_Sidney Jones,-8.9745,3.67,-2.445,0.014,-16.168,-1.781
DisplayName_Siran Neal,-0.7542,5.639,-0.134,0.894,-11.806,10.298
DisplayName_Skai Moore,-5.1025,2.36,-2.162,0.031,-9.728,-0.477
DisplayName_Solomon Thomas,-11.5304,13.647,-0.845,0.398,-38.277,15.216
DisplayName_Sony Michel,-5.8531,4.203,-1.393,0.164,-14.091,2.385
DisplayName_Spencer Drango,-1.6246,4.021,-0.404,0.686,-9.506,6.256
DisplayName_Spencer Long,-3.1581,3.158,-1.0,0.317,-9.348,3.031
DisplayName_Spencer Pulley,-5.1693,1.772,-2.917,0.004,-8.643,-1.696
DisplayName_Spencer Ware,-2.6412,2.745,-0.962,0.336,-8.022,2.74
DisplayName_Stacy Coley,-8.1083,4.308,-1.882,0.06,-16.552,0.335
