,coef,std err,t,P>|t|,[0.025,0.975]
DisplayName_LeSean McCoy,-7.7444,5.421,-1.429,0.153,-18.369,2.88
DisplayName_LeShaun Sims,-2.356,3.201,-0.736,0.462,-8.63,3.918
DisplayName_LeShun Daniels,-2.147,4.384,-0.49,0.624,-10.74,6.446
DisplayName_Lee Smith,2.7994,3.24,0.864,0.388,-3.551,9.15
DisplayName_Leger Douzable,-9.9335,12.621,-0.787,0.431,-34.67,14.803
DisplayName_Leighton Vander Esch,3.5263,9.751,0.362,0.718,-15.585,22.638
DisplayName_Lenzy Pipkins,-3.7393,1.827,-2.046,0.041,-7.321,-0.158
DisplayName_Leon Hall,-3.5544,1.643,-2.163,0.031,-6.775,-0.334
DisplayName_Leon Jacobs,0.3997,6.946,0.058,0.954,-13.215,14.014
DisplayName_Leon McQuay III,-1.492,2.495,-0.598,0.55,-6.383,3.399
DisplayName_Leonard Floyd,-1.64,5.333,-0.308,0.758,-12.092,8.812
DisplayName_Leonard Fournette,-2.581,2.261,-1.141,0.254,-7.013,1.851
DisplayName_Leonard Johnson,-3.6355,1.671,-2.175,0.03,-6.911,-0.36
DisplayName_Leonard Wester,-5.8791,2.343,-2.509,0.012,-10.472,-1.286
DisplayName_Leonard Williams,-6.0914,7.69,-0.792,0.428,-21.163,8.98
DisplayName_Leonte Carroo,-0.6823,3.276,-0.208,0.835,-7.103,5.738
DisplayName_Lerentee McCray,-21.7486,22.38,-0.972,0.331,-65.612,22.115
DisplayName_Levi Wallace,-8.7305,4.146,-2.106,0.035,-16.856,-0.605
DisplayName_Levine Toilolo,3.091,3.915,0.79,0.43,-4.582,10.764
DisplayName_Lewis Neal,-12.3882,13.803,-0.897,0.369,-39.443,14.666
DisplayName_Linval Joseph,-0.7483,0.613,-1.22,0.222,-1.95,0.454
DisplayName_Logan Paulsen,4.394,4.164,1.055,0.291,-3.767,12.555
DisplayName_Logan Ryan,-3.7267,1.583,-2.354,0.019,-6.829,-0.624
DisplayName_Logan Thomas,-1.8983,1.534,-1.237,0.216,-4.905,1.109
DisplayName_Lorenzo Alexander,2.2233,6.986,0.318,0.75,-11.47,15.916
DisplayName_Lorenzo Carter,0.1756,8.053,0.022,0.983,-15.608,15.959
DisplayName_Lorenzo Doss,-4.5394,3.808,-1.192,0.233,-12.003,2.924
DisplayName_Lorenzo Jerome,3.7032,4.611,0.803,0.422,-5.335,12.741
DisplayName_Louis Murphy,-5.184,2.85,-1.819,0.069,-10.771,0.403
DisplayName_Lucas Patrick,0.2032,0.736,0.276,0.782,-1.239,1.645
DisplayName_Luke Bowanko,-9.0645,3.022,-2.999,0.003,-14.988,-3.141
DisplayName_Luke Joeckel,-3.242,2.266,-1.431,0.153,-7.684,1.199
DisplayName_Luke Kuechly,-1.0958,4.938,-0.222,0.824,-10.774,8.582
DisplayName_Luke Stocker,0.2261,0.989,0.229,0.819,-1.713,2.165
DisplayName_Luke Willson,-0.051,0.951,-0.054,0.957,-1.914,1.812
DisplayName_Lyndon Johnson,-13.8236,12.427,-1.112,0.266,-38.181,10.534
DisplayName_M.J. Stewart,-0.5444,3.872,-0.141,0.888,-8.134,7.046
DisplayName_Mack Brown,-6.6128,5.329,-1.241,0.215,-17.058,3.832
DisplayName_Mack Hollins,1.2297,4.165,0.295,0.768,-6.933,9.393
DisplayName_Mackensie Alexander,-4.1235,1.588,-2.597,0.009,-7.235,-1.012
DisplayName_Malachi Dupre,-7.0921,5.18,-1.369,0.171,-17.244,3.06
DisplayName_Malcolm Brown,-4.1425,2.84,-1.458,0.145,-9.71,1.424
DisplayName_Malcolm Butler,-5.1584,1.574,-3.277,0.001,-8.244,-2.073
DisplayName_Malcolm Jenkins,1.1506,3.983,0.289,0.773,-6.655,8.957
DisplayName_Malcolm Smith,-2.4842,3.029,-0.82,0.412,-8.422,3.453
DisplayName_Malcom Brown,-2.4299,2.74,-0.887,0.375,-7.8,2.94
DisplayName_Maliek Collins,-6.0504,6.071,-0.997,0.319,-17.95,5.849
DisplayName_Malik Hooker,2.5467,6.01,0.424,0.672,-9.232,14.326
DisplayName_Malik Jackson,-12.0728,11.382,-1.061,0.289,-34.382,10.236
DisplayName_Malik Jefferson,5.2466,6.633,0.791,0.429,-7.753,18.246
DisplayName_Malik Turner,-4.2087,3.159,-1.332,0.183,-10.401,1.984
DisplayName_Manti Te'o,0.442,5.901,0.075,0.94,-11.123,12.007
DisplayName_MarQueis Gray,3.5896,2.27,1.581,0.114,-0.86,8.039
DisplayName_Marcedes Lewis,3.6792,3.777,0.974,0.33,-3.723,11.082
DisplayName_Marcell Ateman,-1.1292,2.719,-0.415,0.678,-6.457,4.199
DisplayName_Marcell Dareus,0.4355,0.717,0.607,0.544,-0.97,1.841
DisplayName_Marcell Harris,1.9017,5.39,0.353,0.724,-8.663,12.466
DisplayName_Marcus Allen,5.0444,7.62,0.662,0.508,-9.89,19.978
DisplayName_Marcus Burley,-1.1403,3.655,-0.312,0.755,-8.304,6.024
DisplayName_Marcus Cannon,4.0182,9.282,0.433,0.665,-14.174,22.21
DisplayName_Marcus Cooper,-4.7794,1.793,-2.666,0.008,-8.293,-1.266
DisplayName_Marcus Davenport,-18.0733,18.118,-0.998,0.319,-53.585,17.438
DisplayName_Marcus Gilbert,2.7521,7.927,0.347,0.728,-12.784,18.288
DisplayName_Marcus Gilchrist,1.3119,3.254,0.403,0.687,-5.065,7.689
DisplayName_Marcus Johnson,-2.463,2.204,-1.117,0.264,-6.783,1.857
DisplayName_Marcus Kemp,-5.3782,2.364,-2.275,0.023,-10.012,-0.745
DisplayName_Marcus Mariota,-1.2043,1.107,-1.088,0.277,-3.374,0.965
DisplayName_Marcus Maye,1.3448,4.769,0.282,0.778,-8.002,10.692
DisplayName_Marcus Murphy,-9.9281,9.335,-1.063,0.288,-28.225,8.369
DisplayName_Marcus Peters,-4.0272,1.772,-2.273,0.023,-7.5,-0.554
DisplayName_Marcus Rios,-6.9179,3.176,-2.178,0.029,-13.143,-0.692
DisplayName_Marcus Sherels,-7.6702,5.33,-1.439,0.15,-18.118,2.777
DisplayName_Marcus Smith,5.1475,10.412,0.494,0.621,-15.26,25.555
DisplayName_Marcus Williams,-2.1875,1.812,-1.207,0.227,-5.739,1.364
DisplayName_Margus Hunt,-12.4254,10.308,-1.205,0.228,-32.628,7.778
DisplayName_Mario Addison,-17.4263,19.237,-0.906,0.365,-55.13,20.277
DisplayName_Mario Edwards,-11.3738,13.652,-0.833,0.405,-38.131,15.384
DisplayName_Mark Andrews,0.879,1.424,0.617,0.537,-1.913,3.671
DisplayName_Mark Barron,-3.0346,2.997,-1.012,0.311,-8.909,2.84
DisplayName_Mark Glowinski,-0.378,1.215,-0.311,0.756,-2.759,2.003
DisplayName_Mark Ingram,-5.0052,4.182,-1.197,0.231,-13.201,3.191
DisplayName_Mark Nzeocha,-0.5446,5.235,-0.104,0.917,-10.805,9.716
DisplayName_Mark Sanchez,6.428,2.597,2.476,0.013,1.339,11.517
DisplayName_Mark Walton,-11.8604,8.848,-1.34,0.18,-29.203,5.482
DisplayName_Markus Golden,6.5021,10.94,0.594,0.552,-14.94,27.944
DisplayName_Markus Wheaton,-6.5859,6.508,-1.012,0.312,-19.341,6.169
DisplayName_Marlon Humphrey,-4.167,1.844,-2.259,0.024,-7.782,-0.552
DisplayName_Marlon Mack,-7.5533,5.474,-1.38,0.168,-18.283,3.176
DisplayName_Marqise Lee,-5.047,3.725,-1.355,0.175,-12.348,2.254
DisplayName_Marquel Lee,-2.4631,4.153,-0.593,0.553,-10.603,5.677
DisplayName_Marquez Valdes-Scantling,-3.2935,1.774,-1.856,0.063,-6.771,0.184
DisplayName_Marquez Williams,0.5781,4.058,0.142,0.887,-7.376,8.532
DisplayName_Marqui Christian,1.8366,4.955,0.371,0.711,-7.876,11.549
DisplayName_Marquis Bundy,-0.3733,3.915,-0.095,0.924,-8.046,7.299
DisplayName_Marquis Flowers,1.869,8.3,0.225,0.822,-14.398,18.136
DisplayName_Marquis Haynes,-6.2227,8.349,-0.745,0.456,-22.586,10.14
DisplayName_Marquise Goodwin,-9.0225,7.987,-1.13,0.259,-24.676,6.631
DisplayName_Marshal Yanda,-2.5097,2.501,-1.004,0.316,-7.411,2.391
DisplayName_Marshall Newhouse,2.4663,7.592,0.325,0.745,-12.413,17.346
DisplayName_Marshawn Lynch,-5.9521,4.198,-1.418,0.156,-14.179,2.275
DisplayName_Marshon Lattimore,-5.5099,1.392,-3.959,0.0,-8.238,-2.782
DisplayName_Martavis Bryant,-3.515,1.85,-1.9,0.057,-7.141,0.111
DisplayName_Martellus Bennett,6.4146,6.01,1.067,0.286,-5.365,18.194
DisplayName_Martinas Rankin,-2.9783,3.245,-0.918,0.359,-9.339,3.382
DisplayName_Martrell Spaight,2.154,6.564,0.328,0.743,-10.711,15.019
DisplayName_Marvin Hall,-7.5782,5.226,-1.45,0.147,-17.821,2.665
DisplayName_Marvin Jones,-6.0228,3.193,-1.886,0.059,-12.281,0.236
DisplayName_Marwin Evans,2.0902,6.026,0.347,0.729,-9.721,13.901
DisplayName_Mason Cole,-10.9606,4.948,-2.215,0.027,-20.658,-1.263
DisplayName_Mason Foster,3.3689,8.356,0.403,0.687,-13.008,19.746
DisplayName_Mason Schreck,2.7002,2.474,1.092,0.275,-2.148,7.548
DisplayName_Matt Barkley,3.6364,2.798,1.3,0.194,-1.847,9.12
DisplayName_Matt Breida,-12.8138,10.784,-1.188,0.235,-33.949,8.322
DisplayName_Matt Cassel,-0.6464,1.392,-0.464,0.642,-3.375,2.083
DisplayName_Matt Dayes,-9.8303,7.568,-1.299,0.194,-24.664,5.003
DisplayName_Matt Dickerson,-10.2637,11.315,-0.907,0.364,-32.441,11.914
DisplayName_Matt Feiler,2.9495,7.928,0.372,0.71,-12.589,18.488
DisplayName_Matt Flanagan,2.0039,3.453,0.58,0.562,-4.764,8.771
DisplayName_Matt Forte,-7.7964,3.706,-2.104,0.035,-15.059,-0.534
DisplayName_Matt Hazel,-10.3329,5.955,-1.735,0.083,-22.005,1.339
DisplayName_Matt Jones,-1.2032,4.665,-0.258,0.796,-10.347,7.941
DisplayName_Matt Judon,5.0491,11.227,0.45,0.653,-16.956,27.054
DisplayName_Matt Kalil,-2.8258,3.936,-0.718,0.473,-10.54,4.889
DisplayName_Matt LaCosse,0.1152,1.054,0.109,0.913,-1.951,2.182
DisplayName_Matt Lengel,2.2156,3.507,0.632,0.528,-4.658,9.089
DisplayName_Matt Longacre,6.5234,12.339,0.529,0.597,-17.66,30.707
DisplayName_Matt Milano,-4.0076,1.956,-2.049,0.04,-7.841,-0.174
DisplayName_Matt Moore,-3.7402,2.026,-1.846,0.065,-7.712,0.231
DisplayName_Matt Paradis,-6.7961,2.927,-2.322,0.02,-12.534,-1.059
DisplayName_Matt Ryan,-2.836,2.467,-1.149,0.25,-7.672,2.0
DisplayName_Matt Schaub,1.9437,6.189,0.314,0.753,-10.187,14.075
DisplayName_Matt Skura,-3.2822,2.432,-1.35,0.177,-8.048,1.484
DisplayName_Matt Slauson,-0.5071,0.564,-0.899,0.369,-1.613,0.599
DisplayName_Matt Tobin,-2.4861,3.101,-0.802,0.423,-8.564,3.592
DisplayName_Matthew Adams,-3.5952,3.034,-1.185,0.236,-9.542,2.352
DisplayName_Matthew Ioannidis,-1.6561,5.389,-0.307,0.759,-12.219,8.907
DisplayName_Matthew Slater,-7.2372,3.657,-1.979,0.048,-14.406,-0.069
DisplayName_Matthew Stafford,-1.7561,1.534,-1.145,0.252,-4.763,1.251
DisplayName_Matthias Farley,3.0616,5.419,0.565,0.572,-7.559,13.682
DisplayName_Maurice Alexander,-4.5387,1.863,-2.436,0.015,-8.19,-0.887
DisplayName_Maurice Canady,-5.4211,1.627,-3.332,0.001,-8.61,-2.232
DisplayName_Maurice Harris,-4.0393,1.976,-2.045,0.041,-7.912,-0.167
DisplayName_Maurice Hurst,-9.3401,10.763,-0.868,0.385,-30.435,11.754
DisplayName_Maurice Smith,-2.0093,2.314,-0.868,0.385,-6.545,2.526
DisplayName_Maurkice Pouncey,-6.0616,2.148,-2.822,0.005,-10.271,-1.852
DisplayName_Max Garcia,-1.2929,1.472,-0.878,0.38,-4.179,1.593
DisplayName_Max McCaffrey,-4.6989,3.559,-1.32,0.187,-11.675,2.277
DisplayName_Max Tuerk,-13.5806,7.208,-1.884,0.06,-27.707,0.546
DisplayName_Max Unger,-5.822,1.96,-2.971,0.003,-9.663,-1.981
DisplayName_Maxx Williams,-0.0359,1.187,-0.03,0.976,-2.363,2.291
DisplayName_Melvin Gordon,-6.7101,4.279,-1.568,0.117,-15.097,1.677
DisplayName_Melvin Ingram,-20.7582,22.82,-0.91,0.363,-65.485,23.969
DisplayName_Menelik Watson,-0.5868,4.12,-0.142,0.887,-8.661,7.488
DisplayName_Micah Hyde,-0.5329,2.308,-0.231,0.817,-5.057,3.991
DisplayName_Michael Bennett,-12.9697,15.398,-0.842,0.4,-43.148,17.209
DisplayName_Michael Brockers,-7.7909,7.163,-1.088,0.277,-21.831,6.249
DisplayName_Michael Burton,-3.6734,3.008,-1.221,0.222,-9.569,2.222
DisplayName_Michael Campanaro,-6.3284,5.054,-1.252,0.21,-16.233,3.577
DisplayName_Michael Clark,-2.3721,3.354,-0.707,0.479,-8.946,4.202
DisplayName_Michael Crabtree,-0.5026,3.152,-0.159,0.873,-6.681,5.676
DisplayName_Michael Davis,-5.1275,1.556,-3.295,0.001,-8.177,-2.077
DisplayName_Michael Floyd,0.5851,4.158,0.141,0.888,-7.565,8.735
DisplayName_Michael Gallup,-3.9986,2.856,-1.4,0.161,-9.596,1.599
DisplayName_Michael Hoomanawanui,5.1993,3.473,1.497,0.134,-1.607,12.006
DisplayName_Michael Johnson,-12.9998,14.011,-0.928,0.353,-40.46,14.461
DisplayName_Michael Jordan,-3.9347,2.526,-1.558,0.119,-8.885,1.016
DisplayName_Michael Liedtke,-1.986,4.407,-0.451,0.652,-10.623,6.651
DisplayName_Michael Mauti,4.0116,6.442,0.623,0.533,-8.615,16.638
