,coef,std err,t,P>|t|,[0.025,0.975]
DisplayName_Dwayne Allen,2.1699,2.15,1.009,0.313,-2.045,6.384
DisplayName_Dwayne Harris,0.5366,4.032,0.133,0.894,-7.365,8.439
DisplayName_Dwayne Washington,-3.7064,2.777,-1.335,0.182,-9.15,1.737
DisplayName_Dwight Freeney,-13.3965,16.909,-0.792,0.428,-46.538,19.745
DisplayName_Dylan Cole,0.0539,4.986,0.011,0.991,-9.719,9.827
DisplayName_Dylan Donahue,-0.2921,7.879,-0.037,0.97,-15.734,15.15
DisplayName_Dymonte Thomas,-2.2339,3.639,-0.614,0.539,-9.366,4.899
DisplayName_E.J. Gaines,-4.2755,1.675,-2.553,0.011,-7.558,-0.993
DisplayName_EJ Manuel,2.6848,3.524,0.762,0.446,-4.223,9.592
DisplayName_Earl Mitchell,-2.0032,1.584,-1.264,0.206,-5.109,1.102
DisplayName_Earl Thomas,1.6636,3.74,0.445,0.656,-5.667,8.994
DisplayName_Earl Watford,-3.962,3.981,-0.995,0.32,-11.765,3.841
DisplayName_Ed Dickson,-0.2985,1.391,-0.215,0.83,-3.025,2.428
DisplayName_Ed Eagan,-2.9217,4.317,-0.677,0.499,-11.383,5.54
DisplayName_Ed Stinson,-9.0463,11.865,-0.762,0.446,-32.301,14.209
DisplayName_Eddie Goldman,0.6949,1.35,0.515,0.607,-1.95,3.34
DisplayName_Eddie Jackson,0.5252,3.476,0.151,0.88,-6.288,7.338
DisplayName_Eddie Lacy,3.2167,6.841,0.47,0.638,-10.192,16.625
DisplayName_Eddie Pleasant,4.6412,5.868,0.791,0.429,-6.859,16.141
DisplayName_Eddie Vanderdoes,-3.652,4.192,-0.871,0.384,-11.869,4.565
DisplayName_Eddie Yarbrough,-16.2035,19.535,-0.829,0.407,-54.492,22.085
DisplayName_Efe Obada,-15.4124,18.113,-0.851,0.395,-50.914,20.089
DisplayName_Ejuan Price,6.85,10.347,0.662,0.508,-13.431,27.13
DisplayName_Elandon Roberts,-0.0963,5.215,-0.018,0.985,-10.318,10.126
DisplayName_Eli Ankou,-0.1974,1.568,-0.126,0.9,-3.271,2.877
DisplayName_Eli Apple,-2.819,3.067,-0.919,0.358,-8.831,3.193
DisplayName_Eli Harold,-21.4582,24.028,-0.893,0.372,-68.551,25.635
DisplayName_Eli Manning,-2.5976,2.312,-1.124,0.261,-7.128,1.933
DisplayName_Eli Rogers,-6.7925,5.956,-1.14,0.254,-18.467,4.882
