,coef,std err,t,P>|t|,[0.025,0.975]
DisplayName_Jack Crawford,-9.2274,11.586,-0.796,0.426,-31.935,13.48
DisplayName_Jack Doyle,2.0161,2.424,0.832,0.406,-2.735,6.767
DisplayName_Jack Mewhort,-2.3951,1.988,-1.205,0.228,-6.291,1.501
DisplayName_Jacob Hollister,-2.9963,2.729,-1.098,0.272,-8.345,2.352
DisplayName_Jacoby Brissett,2.4143,2.679,0.901,0.367,-2.836,7.665
DisplayName_Jacquies Smith,-13.7407,19.203,-0.716,0.474,-51.378,23.897
DisplayName_Jacquizz Rodgers,-6.8339,6.63,-1.031,0.303,-19.828,6.16
DisplayName_Jadeveon Clowney,2.9027,9.403,0.309,0.758,-15.527,21.333
DisplayName_Jaelen Strong,0.145,4.64,0.031,0.975,-8.95,9.24
DisplayName_Jahleel Addae,-0.8745,2.221,-0.394,0.694,-5.228,3.479
DisplayName_Jahri Evans,1.7983,1.22,1.474,0.14,-0.593,4.189
DisplayName_Jaire Alexander,-2.7681,1.898,-1.459,0.145,-6.488,0.951
DisplayName_Jairus Byrd,0.3252,4.427,0.073,0.941,-8.351,9.001
DisplayName_Jake Brendel,-8.1411,3.215,-2.532,0.011,-14.442,-1.84
DisplayName_Jake Butt,-0.7171,1.992,-0.36,0.719,-4.621,3.187
DisplayName_Jake Fisher,-6.0017,2.24,-2.679,0.007,-10.392,-1.611
DisplayName_Jake Kumerow,-2.6458,2.202,-1.202,0.229,-6.961,1.669
DisplayName_Jake Martin,0.9514,6.189,0.154,0.878,-11.179,13.082
DisplayName_Jake Matthews,-3.4787,2.811,-1.237,0.216,-8.988,2.031
DisplayName_Jake Rudock,-6.569,5.227,-1.257,0.209,-16.815,3.677
DisplayName_Jake Ryan,-0.7328,5.541,-0.132,0.895,-11.594,10.128
DisplayName_Jakeem Grant,-10.6236,10.632,-0.999,0.318,-31.461,10.214
DisplayName_Jaleel Johnson,-3.557,3.952,-0.9,0.368,-11.304,4.19
DisplayName_Jalen Davis,-7.7734,3.166,-2.456,0.014,-13.978,-1.569
DisplayName_Jalen Mills,-5.9598,1.454,-4.1,0.0,-8.809,-3.111
DisplayName_Jalen Myrick,-3.8999,3.386,-1.152,0.249,-10.536,2.736
DisplayName_Jalen Ramsey,-0.9106,4.383,-0.208,0.835,-9.5,7.679
DisplayName_Jalen Reeves-Maybin,-1.5134,3.961,-0.382,0.702,-9.277,6.25
DisplayName_Jalen Richard,-6.8087,6.125,-1.112,0.266,-18.814,5.197
DisplayName_Jalen Tolliver,-6.7084,2.653,-2.529,0.011,-11.908,-1.509
DisplayName_Jalston Fowler,4.1627,3.245,1.283,0.2,-2.197,10.522
DisplayName_Jalyn Holmes,-14.9718,13.478,-1.111,0.267,-41.388,11.444
DisplayName_Jamaal Charles,-10.7079,8.359,-1.281,0.2,-27.092,5.676
DisplayName_Jamaal Williams,-6.8701,4.728,-1.453,0.146,-16.137,2.396
DisplayName_Jamal Adams,2.646,6.283,0.421,0.674,-9.669,14.961
DisplayName_Jamal Agnew,-4.9948,1.849,-2.701,0.007,-8.619,-1.371
DisplayName_Jamal Carter,1.7637,7.009,0.252,0.801,-11.973,15.5
DisplayName_Jamar Taylor,-4.9904,1.421,-3.512,0.0,-7.776,-2.205
DisplayName_Jameis Winston,0.9566,1.581,0.605,0.545,-2.142,4.055
DisplayName_James Bradberry,0.2708,5.484,0.049,0.961,-10.478,11.02
DisplayName_James Burgess,-2.8955,3.222,-0.899,0.369,-9.211,3.42
DisplayName_James Carpenter,0.841,1.929,0.436,0.663,-2.94,4.622
DisplayName_James Conner,-1.0348,2.65,-0.391,0.696,-6.228,4.158
DisplayName_James Cowser,-24.1808,27.414,-0.882,0.378,-77.911,29.549
DisplayName_James Daniels,-5.5464,2.142,-2.589,0.01,-9.745,-1.348
DisplayName_James Develin,0.2496,1.286,0.194,0.846,-2.27,2.77
DisplayName_James Ferentz,-10.9336,4.103,-2.665,0.008,-18.975,-2.892
DisplayName_James Hanna,2.7537,2.193,1.255,0.209,-1.545,7.053
DisplayName_James Harrison,-1.9162,6.5,-0.295,0.768,-14.655,10.823
DisplayName_James Hurst,-1.7303,1.294,-1.337,0.181,-4.266,0.805
DisplayName_James Looney,-14.4664,12.258,-1.18,0.238,-38.491,9.558
DisplayName_James O'Shaughnessy,-2.3257,2.579,-0.902,0.367,-7.381,2.73
DisplayName_James Washington,-0.2172,3.231,-0.067,0.946,-6.55,6.115
DisplayName_James White,-8.4772,6.684,-1.268,0.205,-21.579,4.624
DisplayName_Jamie Collins,3.8616,9.562,0.404,0.686,-14.879,22.602
DisplayName_Jamie Meder,-5.5361,6.103,-0.907,0.364,-17.498,6.425
DisplayName_Jamison Crowder,-9.8106,8.521,-1.151,0.25,-26.512,6.891
DisplayName_Jamiyus Pittman,-6.2653,6.542,-0.958,0.338,-19.088,6.557
DisplayName_Jamize Olawale,-3.0908,3.137,-0.985,0.324,-9.239,3.058
DisplayName_Jamon Brown,7.557,7.339,1.03,0.303,-6.826,21.94
DisplayName_Janarion Grant,-10.8363,9.811,-1.105,0.269,-30.065,8.392
DisplayName_Janoris Jenkins,-5.1183,1.645,-3.112,0.002,-8.342,-1.895
DisplayName_Jaquiski Tartt,3.5209,6.836,0.515,0.607,-9.878,16.92
DisplayName_Jared Abbrederis,-6.963,4.057,-1.716,0.086,-14.915,0.989
DisplayName_Jared Cook,-0.1843,0.948,-0.194,0.846,-2.042,1.673
DisplayName_Jared Goff,-0.8886,0.836,-1.063,0.288,-2.528,0.751
DisplayName_Jared Veldheer,-1.0736,5.331,-0.201,0.84,-11.522,9.375
DisplayName_Jarius Wright,-5.4633,4.96,-1.102,0.271,-15.185,4.258
DisplayName_Jaron Brown,-4.9737,1.922,-2.588,0.01,-8.74,-1.207
DisplayName_Jarrad Davis,2.0412,6.982,0.292,0.77,-11.643,15.726
DisplayName_Jarran Reed,-6.4244,6.698,-0.959,0.337,-19.552,6.703
DisplayName_Jarrod Wilson,0.7373,5.42,0.136,0.892,-9.885,11.36
DisplayName_Jarvis Jenkins,-5.5398,8.178,-0.677,0.498,-21.568,10.488
DisplayName_Jarvis Landry,-4.7907,3.759,-1.274,0.203,-12.159,2.577
DisplayName_Jason Cabinda,-1.6011,4.375,-0.366,0.714,-10.175,6.973
DisplayName_Jason Croom,-2.3553,2.411,-0.977,0.329,-7.081,2.37
DisplayName_Jason Kelce,-8.3246,4.099,-2.031,0.042,-16.358,-0.292
DisplayName_Jason McCourty,-3.8776,1.578,-2.457,0.014,-6.971,-0.784
DisplayName_Jason Peters,2.7306,7.592,0.36,0.719,-12.15,17.611
DisplayName_Jason Pierre-Paul,-12.811,15.212,-0.842,0.4,-42.626,17.004
DisplayName_Jason Spriggs,-5.6808,2.252,-2.523,0.012,-10.094,-1.267
DisplayName_Jason Vander Laan,-3.9478,6.843,-0.577,0.564,-17.36,9.465
DisplayName_Jason Verrett,-5.5774,2.365,-2.358,0.018,-10.213,-0.942
DisplayName_Jason Witten,2.375,2.702,0.879,0.379,-2.921,7.671
DisplayName_Jatavis Brown,-4.4691,1.957,-2.284,0.022,-8.304,-0.634
DisplayName_Javien Elliott,-8.4155,4.897,-1.718,0.086,-18.014,1.183
DisplayName_Javon Hargrave,-2.413,2.904,-0.831,0.406,-8.104,3.278
DisplayName_Javon Wims,2.3218,4.931,0.471,0.638,-7.342,11.986
DisplayName_Javorius Allen,-5.7595,3.569,-1.614,0.107,-12.754,1.236
DisplayName_Jawill Davis,-6.3946,5.128,-1.247,0.212,-16.445,3.655
DisplayName_Jay Ajayi,-4.2951,2.626,-1.636,0.102,-9.442,0.852
DisplayName_Jay Bromley,-4.0049,4.477,-0.894,0.371,-12.781,4.771
DisplayName_Jay Cutler,2.1686,1.685,1.287,0.198,-1.133,5.471
DisplayName_Jay Prosch,5.1179,7.971,0.642,0.521,-10.504,20.74
DisplayName_Jaydon Mickens,-13.1813,10.538,-1.251,0.211,-33.835,7.473
DisplayName_Jaylen Hill,-8.177,5.83,-1.403,0.161,-19.604,3.25
DisplayName_Jaylen Samuels,-2.8187,2.561,-1.101,0.271,-7.838,2.201
DisplayName_Jaylen Watkins,-2.048,2.162,-0.947,0.344,-6.286,2.19
DisplayName_Jaylon Smith,1.0512,6.886,0.153,0.879,-12.446,14.548
DisplayName_Jayon Brown,-3.8314,2.375,-1.613,0.107,-8.486,0.823
DisplayName_Jayron Kearse,1.9088,6.636,0.288,0.774,-11.098,14.915
DisplayName_Jeff Allen,-1.733,2.571,-0.674,0.5,-6.773,3.307
DisplayName_Jeff Cumberland,2.596,2.256,1.151,0.25,-1.826,7.018
DisplayName_Jeff Driskel,2.8011,2.714,1.032,0.302,-2.518,8.12
DisplayName_Jeff Heath,2.7378,6.007,0.456,0.649,-9.035,14.511
DisplayName_Jeff Heuerman,1.23,1.046,1.176,0.239,-0.819,3.279
DisplayName_Jeff Holland,2.2588,8.153,0.277,0.782,-13.721,18.239
DisplayName_Jeff Janis,-0.7709,4.284,-0.18,0.857,-9.168,7.626
DisplayName_Jeff Wilson,-12.4197,9.787,-1.269,0.204,-31.603,6.763
DisplayName_Jehu Chesson,-3.8501,2.42,-1.591,0.112,-8.593,0.892
DisplayName_Jelani Jenkins,2.3074,5.905,0.391,0.696,-9.265,13.88
DisplayName_Jerald Hawkins,-4.7199,2.491,-1.894,0.058,-9.603,0.163
DisplayName_Jerel Worthy,-8.7095,8.341,-1.044,0.296,-25.059,7.639
DisplayName_Jerell Adams,-0.4862,1.176,-0.413,0.679,-2.792,1.82
DisplayName_Jeremiah Attaochu,1.745,8.766,0.199,0.842,-15.437,18.927
DisplayName_Jeremiah George,-0.2785,4.446,-0.063,0.95,-8.993,8.436
DisplayName_Jeremiah Ledbetter,-9.1395,9.802,-0.932,0.351,-28.35,10.071
DisplayName_Jeremiah Sirles,-2.1474,4.026,-0.533,0.594,-10.038,5.744
DisplayName_Jeremiah Valoaga,-12.3751,15.323,-0.808,0.419,-42.408,17.657
DisplayName_Jeremy Hill,-2.8058,2.517,-1.115,0.265,-7.738,2.127
DisplayName_Jeremy Kerley,-6.921,5.744,-1.205,0.228,-18.179,4.337
DisplayName_Jeremy Lane,-5.2091,1.659,-3.139,0.002,-8.461,-1.957
DisplayName_Jeremy Langford,-7.0655,5.931,-1.191,0.234,-18.689,4.558
DisplayName_Jeremy Maclin,-4.2512,3.321,-1.28,0.201,-10.761,2.258
DisplayName_Jeremy McNichols,-8.8537,8.011,-1.105,0.269,-24.555,6.847
DisplayName_Jeremy Sprinkle,0.5067,1.07,0.474,0.636,-1.591,2.604
DisplayName_Jeremy Vujnovich,-4.5608,4.06,-1.123,0.261,-12.519,3.397
DisplayName_Jerick McKinnon,-7.9065,6.652,-1.189,0.235,-20.945,5.132
DisplayName_Jermaine Carter,-0.2369,2.361,-0.1,0.92,-4.864,4.39
DisplayName_Jermaine Eluemunor,4.8539,9.527,0.509,0.61,-13.818,23.526
DisplayName_Jermaine Gresham,1.4862,2.01,0.739,0.46,-2.453,5.425
DisplayName_Jermaine Kearse,-2.5705,2.204,-1.166,0.243,-6.89,1.749
DisplayName_Jermaine Whitehead,-1.9926,2.193,-0.909,0.364,-6.291,2.306
DisplayName_Jermey Parnell,1.0575,6.836,0.155,0.877,-12.342,14.457
DisplayName_Jermon Bushrod,-0.6153,4.845,-0.127,0.899,-10.11,8.88
DisplayName_Jerome Baker,-4.6387,2.053,-2.26,0.024,-8.662,-0.616
DisplayName_Jerome Cunningham,1.6822,1.731,0.972,0.331,-1.711,5.076
DisplayName_Jerrell Freeman,-2.4383,4.689,-0.52,0.603,-11.629,6.752
DisplayName_Jerrol Garcia-Williams,-2.5369,4.943,-0.513,0.608,-12.225,7.151
DisplayName_Jerry Hughes,-17.85,20.857,-0.856,0.392,-58.73,23.03
DisplayName_Jesse Davis,2.8414,2.975,0.955,0.339,-2.989,8.672
DisplayName_Jesse James,-1.9003,1.577,-1.205,0.228,-4.992,1.191
DisplayName_Jessie Bates,-0.6206,2.878,-0.216,0.829,-6.261,5.02
DisplayName_Jihad Ward,-13.336,12.251,-1.089,0.276,-37.348,10.676
DisplayName_Jimmie Ward,-2.0996,1.825,-1.151,0.25,-5.676,1.477
DisplayName_Jimmy Garoppolo,0.9711,0.665,1.461,0.144,-0.331,2.274
DisplayName_Jimmy Graham,2.6699,3.165,0.844,0.399,-3.533,8.873
DisplayName_Jimmy Smith,-1.3745,4.866,-0.282,0.778,-10.911,8.162
DisplayName_JoJo Natson,-2.7235,15.229,-0.179,0.858,-32.572,27.125
DisplayName_Joe Barksdale,1.2059,6.937,0.174,0.862,-12.391,14.803
DisplayName_Joe Berger,-2.5945,2.666,-0.973,0.331,-7.821,2.632
DisplayName_Joe Dahl,-1.5545,1.347,-1.154,0.249,-4.195,1.086
DisplayName_Joe Flacco,4.4486,5.341,0.833,0.405,-6.02,14.917
DisplayName_Joe Haden,-3.8642,1.611,-2.399,0.016,-7.021,-0.707
DisplayName_Joe Haeg,-7.2281,2.527,-2.86,0.004,-12.181,-2.275
DisplayName_Joe Hawley,-6.7821,2.683,-2.528,0.011,-12.041,-1.523
DisplayName_Joe Jones,-3.1342,3.96,-0.792,0.429,-10.895,4.627
DisplayName_Joe Kerridge,-3.337e-15,2.02e-14,-0.165,0.869,-4.29e-14,3.63e-14
DisplayName_Joe Looney,-2.1718,2.786,-0.78,0.436,-7.632,3.289
DisplayName_Joe Mixon,-4.6119,3.402,-1.356,0.175,-11.28,2.057
DisplayName_Joe Noteboom,-1.3657,5.707,-0.239,0.811,-12.551,9.819
DisplayName_Joe Schobert,1.5913,6.992,0.228,0.82,-12.112,15.295
DisplayName_Joe Staley,-6.8891,3.035,-2.27,0.023,-12.837,-0.941
DisplayName_Joe Thomas,-2.8593,3.366,-0.85,0.396,-9.456,3.737
DisplayName_Joe Thuney,-2.2121,1.819,-1.216,0.224,-5.777,1.353
DisplayName_Joe Vellano,-6.9747,8.39,-0.831,0.406,-23.42,9.47
DisplayName_Joe Walker,-2.4639,4.624,-0.533,0.594,-11.527,6.599
DisplayName_Joe Webb,2.7736,2.064,1.344,0.179,-1.272,6.819
DisplayName_Joel Bitonio,1.9821,1.74,1.139,0.255,-1.429,5.393
DisplayName_Joel Heath,-5.0156,7.794,-0.644,0.52,-20.291,10.26
DisplayName_Joel Iyiegbuniwe,-5.1226,6.752,-0.759,0.448,-18.356,8.111
DisplayName_Joey Bosa,-11.1405,13.817,-0.806,0.42,-38.222,15.94
DisplayName_Joey Hunt,-7.8573,3.332,-2.358,0.018,-14.388,-1.327
DisplayName_Joey Mbu,0.9265,0.994,0.932,0.351,-1.022,2.875
DisplayName_John Atkins,1.8498,1.982,0.933,0.351,-2.035,5.734
DisplayName_John Brown,-10.3116,8.021,-1.286,0.199,-26.033,5.41
DisplayName_John Franklin-Myers,-8.0666,11.527,-0.7,0.484,-30.66,14.526
DisplayName_John Greco,0.0672,0.744,0.09,0.928,-1.391,1.526
DisplayName_John Hughes,-1.6449,2.877,-0.572,0.568,-7.284,3.994
DisplayName_John Jenkins,3.3089,3.352,0.987,0.324,-3.261,9.879
DisplayName_John Jerry,6.6388,7.253,0.915,0.36,-7.576,20.854
DisplayName_John Johnson,2.3662,5.301,0.446,0.655,-8.024,12.756
DisplayName_John Kelly,-10.1106,6.799,-1.487,0.137,-23.437,3.215
DisplayName_John Kuhn,-1.2175,3.072,-0.396,0.692,-7.238,4.803
DisplayName_John Miller,0.2285,0.662,0.345,0.73,-1.069,1.526
DisplayName_John Phillips,-1.2627,1.408,-0.897,0.37,-4.023,1.498
DisplayName_John Ross,-5.483,4.24,-1.293,0.196,-13.793,2.827
DisplayName_John Simon,-16.2555,19.177,-0.848,0.397,-53.842,21.331
DisplayName_John Sullivan,-3.8141,2.074,-1.839,0.066,-7.879,0.251
DisplayName_John Timu,3.0911,7.429,0.416,0.677,-11.47,17.652
DisplayName_John Wetzel,0.8924,7.274,0.123,0.902,-13.365,15.15
DisplayName_Johnathan Cyprien,2.1952,5.754,0.381,0.703,-9.083,13.474
DisplayName_Johnathan Hankins,3.3089,2.962,1.117,0.264,-2.497,9.115
DisplayName_Johnathan Joseph,-6.58,2.551,-2.58,0.01,-11.579,-1.581
DisplayName_Johnny Holton,-9.9943,5.269,-1.897,0.058,-20.321,0.332
DisplayName_Johnny Mundt,-7.6981,6.286,-1.225,0.221,-20.018,4.622
DisplayName_Johnson Bademosi,3.1281,7.555,0.414,0.679,-11.679,17.936
DisplayName_Johnthan Banks,-4.5944,3.103,-1.481,0.139,-10.676,1.487
DisplayName_Jon Bostic,1.266,6.986,0.181,0.856,-12.427,14.958
DisplayName_Jon Feliciano,1.8733,2.62,0.715,0.475,-3.261,7.007
DisplayName_Jon Halapio,-3.2721,2.651,-1.234,0.217,-8.467,1.923
DisplayName_Jonathan Allen,-4.8143,8.101,-0.594,0.552,-20.692,11.064
DisplayName_Jonathan Anderson,3.768,5.901,0.639,0.523,-7.798,15.334
DisplayName_Jonathan Bullard,-6.1863,9.206,-0.672,0.502,-24.231,11.858
DisplayName_Jonathan Casillas,-3.6497,2.299,-1.588,0.112,-8.155,0.856
DisplayName_Jonathan Cooper,-0.212,1.679,-0.126,0.9,-3.502,3.078
DisplayName_Jonathan Freeny,1.601,7.086,0.226,0.821,-12.288,15.49
DisplayName_Jonathan Jones,-5.1214,1.699,-3.014,0.003,-8.452,-1.791
DisplayName_Jonathan Stewart,3.3392,5.652,0.591,0.555,-7.738,14.417
DisplayName_Jonathan Williams,-9.2578,4.909,-1.886,0.059,-18.879,0.364
DisplayName_Jonathan Woodard,-14.3408,16.356,-0.877,0.381,-46.398,17.717
DisplayName_Jonnu Smith,-0.3161,1.841,-0.172,0.864,-3.924,3.291
DisplayName_Jonotthan Harrison,-8.6879,2.942,-2.953,0.003,-14.454,-2.922
DisplayName_Jordan Akins,-1.7293,3.126,-0.553,0.58,-7.856,4.398
DisplayName_Jordan Dangerfield,0.5598,3.31,0.169,0.866,-5.927,7.047
DisplayName_Jordan Devey,0.1024,5.298,0.019,0.985,-10.281,10.486
DisplayName_Jordan Evans,-0.2783,5.987,-0.046,0.963,-12.012,11.456
DisplayName_Jordan Franks,1.0843,3.607,0.301,0.764,-5.986,8.154
DisplayName_Jordan Hicks,-1.562,4.594,-0.34,0.734,-10.565,7.441
DisplayName_Jordan Howard,-3.1144,2.493,-1.249,0.212,-8.0,1.772
DisplayName_Jordan Jenkins,3.8515,10.666,0.361,0.718,-17.053,24.756
DisplayName_Jordan Leggett,0.9713,1.638,0.593,0.553,-2.239,4.182
DisplayName_Jordan Leslie,-1.8796,3.361,-0.559,0.576,-8.467,4.708
DisplayName_Jordan Lucas,-6.4734,1.72,-3.763,0.0,-9.845,-3.102
DisplayName_Jordan Matthews,-1.6364,2.822,-0.58,0.562,-7.167,3.894
DisplayName_Jordan Mills,-1.6062,4.345,-0.37,0.712,-10.122,6.91
DisplayName_Jordan Phillips,2.4418,3.016,0.81,0.418,-3.469,8.353
DisplayName_Jordan Poyer,-2.41,1.587,-1.519,0.129,-5.521,0.701
DisplayName_Jordan Reed,-1.302,3.332,-0.391,0.696,-7.833,5.229
DisplayName_Jordan Richards,4.0549,7.058,0.575,0.566,-9.779,17.888
DisplayName_Jordan Roos,-0.8941,3.82,-0.234,0.815,-8.381,6.593
DisplayName_Jordan Simmons,8.3086,6.608,1.257,0.209,-4.642,21.259
DisplayName_Jordan Taylor,-8.2892,4.081,-2.031,0.042,-16.288,-0.291
DisplayName_Jordan Thomas,7.8971,6.656,1.187,0.235,-5.148,20.942
DisplayName_Jordan Whitehead,0.6602,3.591,0.184,0.854,-6.378,7.698
DisplayName_Jordan Wilkins,-4.6372,3.896,-1.19,0.234,-12.274,3.0
DisplayName_Jordan Williams,4.0664,11.633,0.35,0.727,-18.733,26.866
DisplayName_Jordan Willis,-14.0611,16.544,-0.85,0.395,-46.487,18.365
DisplayName_Jordy Nelson,-0.5371,3.253,-0.165,0.869,-6.912,5.838
DisplayName_Josey Jewell,-0.6729,4.487,-0.15,0.881,-9.468,8.122
DisplayName_Josh Adams,-4.6998,2.448,-1.92,0.055,-9.498,0.098
DisplayName_Josh Allen,1.8263,3.182,0.574,0.566,-4.41,8.063
DisplayName_Josh Andrews,-6.6465,5.374,-1.237,0.216,-17.179,3.886
DisplayName_Josh Bellamy,-1.6589,2.376,-0.698,0.485,-6.316,2.998
DisplayName_Josh Bynes,-1.1074,4.317,-0.256,0.798,-9.569,7.355
DisplayName_Josh Doctson,-3.8423,2.025,-1.897,0.058,-7.812,0.127
DisplayName_Josh Ferguson,-7.7092,9.214,-0.837,0.403,-25.769,10.35
DisplayName_Josh Forrest,2.8103,10.156,0.277,0.782,-17.096,22.716
DisplayName_Josh Gordon,1.1309,5.297,0.214,0.831,-9.25,11.512
DisplayName_Josh Harvey-Clemons,1.4331,6.906,0.208,0.836,-12.103,14.969
DisplayName_Josh Hawkins,-4.8648,1.736,-2.803,0.005,-8.267,-1.463
DisplayName_Josh Hill,-0.3729,1.414,-0.264,0.792,-3.144,2.398
DisplayName_Josh Jackson,-3.8579,1.642,-2.349,0.019,-7.077,-0.639
DisplayName_Josh Johnson,-3.0672,2.0,-1.533,0.125,-6.988,0.853
DisplayName_Josh Jones,4.3354,8.11,0.535,0.593,-11.561,20.232
DisplayName_Josh Keyes,-1.9812,3.294,-0.601,0.548,-8.437,4.475
DisplayName_Josh Kline,-3.2122,3.88,-0.828,0.408,-10.818,4.393
DisplayName_Josh LeRibeus,-0.1658,1.284,-0.129,0.897,-2.682,2.35
DisplayName_Josh Malone,-4.1125,2.034,-2.022,0.043,-8.1,-0.125
DisplayName_Josh Martin,-0.5026,6.815,-0.074,0.941,-13.86,12.855
DisplayName_Josh Mauro,-9.4429,11.115,-0.85,0.396,-31.229,12.343
DisplayName_Josh McCown,-3.2783,2.207,-1.485,0.138,-7.605,1.048
DisplayName_Josh Norman,-2.2273,2.42,-0.92,0.357,-6.97,2.515
DisplayName_Josh Perkins,-8.7152,8.636,-1.009,0.313,-25.641,8.21
DisplayName_Josh Reynolds,-7.2831,3.683,-1.978,0.048,-14.501,-0.066
DisplayName_Josh Robinson,-1.3839,3.585,-0.386,0.699,-8.41,5.642
DisplayName_Josh Rosen,-1.0673,0.517,-2.064,0.039,-2.081,-0.054
DisplayName_Josh Shaw,-3.8256,1.755,-2.179,0.029,-7.266,-0.385
DisplayName_Josh Sitton,3.1044,1.879,1.652,0.099,-0.579,6.788
DisplayName_Josh Sweat,-16.684,21.43,-0.779,0.436,-58.687,25.319
DisplayName_Josh Tupou,4.6105,4.414,1.045,0.296,-4.04,13.261
DisplayName_Josh Walker,2.4726,4.515,0.548,0.584,-6.376,11.321
DisplayName_Josh Wells,-4.0279,2.303,-1.749,0.08,-8.542,0.487
DisplayName_Joshua Dobbs,-3.4545,3.211,-1.076,0.282,-9.748,2.839
DisplayName_Joshua Garnett,-2.8739,3.466,-0.829,0.407,-9.668,3.92
DisplayName_Joshua Holsey,-4.637,3.542,-1.309,0.191,-11.58,2.306
DisplayName_Joshua Perry,1.0031,9.741,0.103,0.918,-18.089,20.095
DisplayName_Jourdan Lewis,-3.4447,1.761,-1.956,0.05,-6.896,0.007
DisplayName_JuJu Smith-Schuster,-0.2596,3.161,-0.082,0.935,-6.455,5.936
DisplayName_Julian Edelman,-3.187,3.153,-1.011,0.312,-9.367,2.993
DisplayName_Julian Stanford,-4.6615,3.228,-1.444,0.149,-10.988,1.665
DisplayName_Julie'n Davenport,1.0024,6.478,0.155,0.877,-11.695,13.7
DisplayName_Julio Jones,0.1494,3.998,0.037,0.97,-7.686,7.985
DisplayName_Julius Peppers,-7.9173,9.803,-0.808,0.419,-27.131,11.296
DisplayName_Julius Thomas,1.5799,2.558,0.618,0.537,-3.433,6.593
DisplayName_Jullian Taylor,-15.2369,14.227,-1.071,0.284,-43.121,12.648
DisplayName_Junior Galette,3.9446,9.38,0.421,0.674,-14.44,22.329
DisplayName_Jurrell Casey,-6.2319,6.834,-0.912,0.362,-19.627,7.163
DisplayName_Justin Bethel,-3.5601,2.47,-1.442,0.149,-8.4,1.28
DisplayName_Justin Britt,-4.1144,2.358,-1.745,0.081,-8.736,0.507
DisplayName_Justin Coleman,-5.0838,1.597,-3.183,0.001,-8.214,-1.953
DisplayName_Justin Currie,-1.3282,3.608,-0.368,0.713,-8.4,5.744
DisplayName_Justin Davis,-9.2962,9.225,-1.008,0.314,-27.377,8.785
DisplayName_Justin Durant,-1.9826,3.216,-0.617,0.538,-8.285,4.32
DisplayName_Justin Ellis,6.4199,5.874,1.093,0.274,-5.093,17.933
DisplayName_Justin Evans,-0.4221,2.757,-0.153,0.878,-5.826,4.982
DisplayName_Justin Hamilton,-3.6569,4.205,-0.87,0.385,-11.899,4.585
DisplayName_Justin Hardee,-2.766,3.764,-0.735,0.462,-10.144,4.612
DisplayName_Justin Hardy,-6.3282,4.724,-1.339,0.18,-15.588,2.932
DisplayName_Justin Houston,-13.5002,16.449,-0.821,0.412,-45.739,18.739
DisplayName_Justin Hunter,-4.5831,2.399,-1.91,0.056,-9.286,0.12
DisplayName_Justin Jackson,-10.2687,8.175,-1.256,0.209,-26.291,5.753
DisplayName_Justin Jones,-6.3369,5.901,-1.074,0.283,-17.902,5.228
DisplayName_Justin Lawler,-14.8848,18.09,-0.823,0.411,-50.341,20.572
DisplayName_Justin March-Lillard,-4.638,4.913,-0.944,0.345,-14.267,4.991
DisplayName_Justin McCray,1.889,1.095,1.726,0.084,-0.256,4.034
DisplayName_Justin Murray,-2.0773,4.612,-0.45,0.652,-11.116,6.962
DisplayName_Justin Pugh,-1.656,1.055,-1.57,0.116,-3.723,0.411
DisplayName_Justin Reid,0.1571,3.897,0.04,0.968,-7.482,7.796
DisplayName_Justin Simmons,-0.1488,3.28,-0.045,0.964,-6.577,6.279
DisplayName_Justin Watson,-1.633,3.071,-0.532,0.595,-7.651,4.385
DisplayName_Justin Zimmer,-9.4153,11.542,-0.816,0.415,-32.037,13.207
DisplayName_Juston Burris,1.7675,5.608,0.315,0.753,-9.223,12.758
DisplayName_K'Waun Williams,-6.9767,3.019,-2.311,0.021,-12.894,-1.059
DisplayName_K.J. Brent,-8.7054,5.72,-1.522,0.128,-19.917,2.506
DisplayName_K.J. Wright,0.5532,7.006,0.079,0.937,-13.178,14.284
DisplayName_Kaelin Clay,-4.6674,4.126,-1.131,0.258,-12.755,3.42
DisplayName_Kai Nacua,0.6661,4.33,0.154,0.878,-7.821,9.154
DisplayName_Kalan Reed,-1.591,5.055,-0.315,0.753,-11.498,8.316
DisplayName_Kalen Ballage,-0.5259,2.548,-0.206,0.836,-5.52,4.468
DisplayName_Kalif Raymond,-8.28,7.664,-1.08,0.28,-23.3,6.741
DisplayName_Kam Chancellor,5.7077,9.43,0.605,0.545,-12.775,24.19
DisplayName_Kamalei Correa,-1.2355,5.741,-0.215,0.83,-12.488,10.016
DisplayName_Kamar Aiken,-0.4982,3.202,-0.156,0.876,-6.774,5.778
DisplayName_Kamu Grugier-Hill,-2.8303,3.043,-0.93,0.352,-8.795,3.134
DisplayName_Kapri Bibbs,-9.3003,7.268,-1.28,0.201,-23.545,4.945
DisplayName_Kareem Hunt,-5.0413,3.962,-1.272,0.203,-12.806,2.724
DisplayName_Kareem Jackson,-6.0108,2.541,-2.366,0.018,-10.991,-1.031
DisplayName_Kareem Martin,3.3517,11.267,0.297,0.766,-18.732,25.436
DisplayName_Karl Joseph,0.5125,3.253,0.158,0.875,-5.864,6.889
DisplayName_Karl Klug,-15.6499,14.588,-1.073,0.283,-44.242,12.943
DisplayName_Karlos Dansby,1.2472,8.092,0.154,0.878,-14.612,17.107
DisplayName_Kasen Williams,-0.1941,4.036,-0.048,0.962,-8.105,7.717
